State,AgencyType,AgencyName,Race,Religion,SexualOrientation,Ethnicity,Disability,Gender,GenderIdentity,1stQuarter,2ndQuarter,3rdQuarter,4thQuarter,Population,ID,StateCode
New_York,Cities,New York,44,152,99,17,1,0,1,56,84,81,93,"8,396,126",0,NY
New_York,Metropolitan Counties,Suffolk County Police Department,26,50,7,4,0,0,0,11,33,22,21,,0,NY
California,Cities,Los Angeles,41,29,33,9,0,0,2,21,40,25,28,"3,878,725",0,CA
New_York,Metropolitan Counties,Nassau,10,28,2,3,0,0,0,9,16,9,9,,0,NY
Massachusetts,Cities,Boston,73,21,53,15,0,0,3,39,56,40,30,"643,799",0,MA
New_Jersey,Cities,Lakewood Township,5,15,0,3,0,0,0,2,6,7,8,"92,664",0,NJ
New_York,Other Agencies,New York City Metropolitan Transportation Authority,2,15,0,0,0,0,0,4,5,4,4,,0,NY
Washington,Cities,Seattle,50,14,14,6,3,2,0,19,23,29,18,"642,814",0,WA
Arizona,Cities,Phoenix,40,12,14,14,1,0,0,25,21,35,,"1,502,139",0,AZ
California,Cities,San Diego,18,12,12,1,0,0,0,7,10,17,9,"1,349,306",0,CA
New_Jersey,Cities,East Brunswick Township,1,10,2,1,0,0,0,3,4,3,4,"48,073",0,NJ
Nevada,Cities,Las Vegas Metropolitan Police Department,27,9,23,6,0,0,0,16,13,18,18,"1,500,455",0,NV
Missouri,Cities,Kansas City,30,7,14,5,1,4,2,13,17,21,12,"465,514",0,MO
DC,Cities,Washington,18,6,31,3,0,0,12,19,21,20,10,"646,449",0,DC
Arizona,Cities,Tucson,13,6,6,1,0,0,0,8,8,6,4,"525,486",0,AZ
New_Jersey,Cities,Howell Township,5,6,4,3,0,0,0,2,7,5,4,"51,100",0,NJ
South_Carolina,Cities,Winnsboro,0,6,0,0,0,0,0,2,3,0,1,"3,428",0,SC
Colorado,Cities,Denver,9,5,15,1,0,0,0,3,13,9,5,"648,981",0,CO
Virginia,Metropolitan Counties,Fairfax County Police Department,7,5,0,1,0,0,0,3,1,5,4,,0,VA
North_Carolina,Metropolitan Counties,Iredell,0,5,0,0,0,0,0,0,2,3,0,,0,NC
Ohio,Cities,Columbus,88,4,17,15,12,0,0,8,22,60,46,"816,364",0,OH
Minnesota,Cities,St. Paul,24,4,2,0,0,0,0,0,18,11,1,"294,690",0,MN
Minnesota,Cities,Minneapolis,20,4,11,3,1,0,0,6,13,11,9,"396,206",0,MN
North_Carolina,Cities,Charlotte-Mecklenburg,8,4,6,3,0,0,0,10,4,2,5,"837,638",0,NC
Maryland,Metropolitan Counties,Montgomery County Police Department,6,4,2,1,0,0,0,3,5,2,3,,0,MD
New_York,Cities,New York,44,152,99,17,1,0,1,56,84,81,93,"8,396,126",1,NY
Massachusetts,Cities,Boston,73,21,53,15,0,0,3,39,56,40,30,"643,799",1,MA
California,Cities,Los Angeles,41,29,33,9,0,0,2,21,40,25,28,"3,878,725",1,CA
DC,Cities,Washington,18,6,31,3,0,0,12,19,21,20,10,"646,449",1,DC
Nevada,Cities,Las Vegas Metropolitan Police Department,27,9,23,6,0,0,0,16,13,18,18,"1,500,455",1,NV
Illinois,Cities,Chicago,22,2,18,3,0,0,0,11,10,15,9,"2,720,554",1,IL
Ohio,Cities,Columbus,88,4,17,15,12,0,0,8,22,60,46,"816,364",1,OH
Colorado,Cities,Denver,9,5,15,1,0,0,0,3,13,9,5,"648,981",1,CO
Missouri,Cities,Kansas City,30,7,14,5,1,4,2,13,17,21,12,"465,514",1,MO
Arizona,Cities,Phoenix,40,12,14,14,1,0,0,25,21,35,,"1,502,139",1,AZ
Washington,Cities,Seattle,50,14,14,6,3,2,0,19,23,29,18,"642,814",1,WA
California,Cities,San Francisco,7,3,13,1,0,0,0,4,8,8,4,"833,863",1,CA
Georgia,Cities,Atlanta,5,1,12,2,1,0,0,8,11,2,0,"451,020",1,GA
Tennessee,Cities,Memphis,9,0,12,1,1,0,1,6,5,9,4,"657,691",1,TN
California,Cities,San Diego,18,12,12,1,0,0,0,7,10,17,9,"1,349,306",1,CA
Minnesota,Cities,Minneapolis,20,4,11,3,1,0,0,6,13,11,9,"396,206",1,MN
Texas,Cities,Dallas,3,2,9,4,0,0,0,2,4,9,3,"1,255,015",1,TX
Texas,Cities,San Antonio,3,0,7,1,0,0,0,3,3,3,2,"1,399,725",1,TX
Missouri,Cities,St. Louis,4,1,7,0,0,0,0,3,2,2,5,"318,563",1,MO
New_York,Metropolitan Counties,Suffolk County Police Department,26,50,7,4,0,0,0,11,33,22,21,,1,NY
California,Cities,Sacramento,6,2,6,2,0,0,0,2,5,6,3,"478,182",1,CA
California,Cities,San Jose,6,2,6,1,0,0,0,7,1,2,5,"992,143",1,CA
North_Carolina,Cities,Charlotte-Mecklenburg,8,4,6,3,0,0,0,10,4,2,5,"837,638",1,NC
Arizona,Cities,Tucson,13,6,6,1,0,0,0,8,8,6,4,"525,486",1,AZ
Indiana,Cities,Indianapolis,29,0,6,8,0,0,0,8,15,16,4,"850,220",1,IN
Tennessee,Metropolitan Counties,Shelby,5,1,3,36,1,0,0,2,7,20,17,,2,TN
New_York,Cities,New York,44,152,99,17,1,0,1,56,84,81,93,"8,396,126",2,NY
Massachusetts,Cities,Boston,73,21,53,15,0,0,3,39,56,40,30,"643,799",2,MA
Ohio,Cities,Columbus,88,4,17,15,12,0,0,8,22,60,46,"816,364",2,OH
Arizona,Cities,Phoenix,40,12,14,14,1,0,0,25,21,35,,"1,502,139",2,AZ
Tennessee,Cities,Covington,1,0,0,12,4,0,0,3,1,5,8,"9,076",2,TN
California,Cities,Los Angeles,41,29,33,9,0,0,2,21,40,25,28,"3,878,725",2,CA
Indiana,Cities,Indianapolis,29,0,6,8,0,0,0,8,15,16,4,"850,220",2,IN
Nevada,Cities,Las Vegas Metropolitan Police Department,27,9,23,6,0,0,0,16,13,18,18,"1,500,455",2,NV
Washington,Cities,Seattle,50,14,14,6,3,2,0,19,23,29,18,"642,814",2,WA
Tennessee,Cities,Clarksville,0,0,5,6,0,0,0,1,2,0,8,"145,599",2,TN
Connecticut,Cities,Southington,1,0,0,6,0,0,0,3,2,2,0,"43,542",2,CT
Missouri,Cities,Kansas City,30,7,14,5,1,4,2,13,17,21,12,"465,514",2,MO
Wisconsin,Cities,Madison,3,1,3,5,0,0,0,3,5,2,2,"242,523",2,WI
Texas,Cities,Fort Worth,9,0,2,5,0,0,0,5,1,6,4,"789,035",2,TX
North_Dakota,Cities,Bismarck,0,0,1,5,0,0,0,3,0,2,1,"65,850",2,ND
Ohio,Cities,Cincinnati,9,0,1,5,1,0,0,4,0,2,10,"296,491",2,OH
Texas,Cities,Dallas,3,2,9,4,0,0,0,2,4,9,3,"1,255,015",2,TX
New_York,Metropolitan Counties,Suffolk County Police Department,26,50,7,4,0,0,0,11,33,22,21,,2,NY
Massachusetts,Cities,Lynn,3,2,5,4,2,0,0,1,5,6,4,"91,769",2,MA
Texas,Cities,Houston,4,0,5,4,0,0,0,4,5,1,3,"2,180,606",2,TX
Kentucky,Cities,Lexington,16,1,5,4,1,0,0,5,10,10,2,"308,712",2,KY
California,Cities,El Cerrito,0,2,1,4,0,0,0,3,1,2,1,"24,184",2,CA
Tennessee,Cities,Jonesborough,0,0,0,4,1,0,0,0,0,2,3,"5,163",2,TN
California,Cities,Union City,1,0,0,4,0,0,0,1,3,1,0,"72,480",,CA
Ohio,Cities,Columbus,88,4,17,15,12,0,0,8,22,60,46,"816,364",3,OH
Tennessee,Cities,Covington,1,0,0,12,4,0,0,3,1,5,8,"9,076",3,TN
Washington,Cities,Seattle,50,14,14,6,3,2,0,19,23,29,18,"642,814",3,WA
North_Dakota,Nonmetropolitan Counties,Mountrail,1,0,0,1,3,0,0,0,0,1,4,,3,ND
Massachusetts,Cities,Lynn,3,2,5,4,2,0,0,1,5,6,4,"91,769",3,MA
Ohio,Cities,Huber Heights,1,1,4,0,2,0,0,1,3,4,0,"38,118",3,OH
Ohio,Metropolitan Counties,Butler,3,0,3,0,2,0,0,3,2,1,2,,3,OH
Kentucky,Cities,Florence,1,0,0,0,2,0,0,1,1,1,0,"31,434",3,KY
Tennessee,Metropolitan Counties,Shelby,5,1,3,36,1,0,0,2,7,20,17,,3,TN
New_York,Cities,New York,44,152,99,17,1,0,1,56,84,81,93,"8,396,126",3,NY
Arizona,Cities,Phoenix,40,12,14,14,1,0,0,25,21,35,,"1,502,139",3,AZ
Missouri,Cities,Kansas City,30,7,14,5,1,4,2,13,17,21,12,"465,514",3,MO
Ohio,Cities,Cincinnati,9,0,1,5,1,0,0,4,0,2,10,"296,491",3,OH
Kentucky,Cities,Lexington,16,1,5,4,1,0,0,5,10,10,2,"308,712",3,KY
Tennessee,Cities,Jonesborough,0,0,0,4,1,0,0,0,0,2,3,"5,163",3,TN
Minnesota,Cities,Minneapolis,20,4,11,3,1,0,0,6,13,11,9,"396,206",3,MN
Washington,Metropolitan Counties,Spokane,1,0,1,3,1,0,0,0,2,1,3,,3,WA
Georgia,Cities,Atlanta,5,1,12,2,1,0,0,8,11,2,0,"451,020",3,GA
Connecticut,Cities,Stamford,1,2,2,2,1,0,0,2,2,1,3,"125,876",3,CT
New_Jersey,Cities,Lacey Township,3,0,2,2,1,0,0,1,5,1,1,"27,865",3,NJ
New_York,Cities,Poughkeepsie,0,0,0,2,1,0,1,2,1,0,1,"30,778",3,NY
Tennessee,Cities,Memphis,9,0,12,1,1,0,1,6,5,9,4,"657,691",3,TN
North_Dakota,Cities,Fargo,8,2,2,1,1,0,0,2,3,6,3,"111,101",3,ND
Washington,Cities,Omak,0,0,1,1,1,0,0,2,1,0,0,"4,801",3,WA
California,Cities,Westminster,1,1,1,1,1,0,0,1,1,1,2,"91,885",3,CA
Ohio,Cities,Columbus,88,4,17,15,12,0,0,8,22,60,46,"816,364",4,OH
Massachusetts,Cities,Boston,73,21,53,15,0,0,3,39,56,40,30,"643,799",4,MA
Washington,Cities,Seattle,50,14,14,6,3,2,0,19,23,29,18,"642,814",4,WA
New_York,Cities,New York,44,152,99,17,1,0,1,56,84,81,93,"8,396,126",4,NY
California,Cities,Los Angeles,41,29,33,9,0,0,2,21,40,25,28,"3,878,725",4,CA
Arizona,Cities,Phoenix,40,12,14,14,1,0,0,25,21,35,,"1,502,139",4,AZ
Missouri,Cities,Kansas City,30,7,14,5,1,4,2,13,17,21,12,"465,514",4,MO
Indiana,Cities,Indianapolis,29,0,6,8,0,0,0,8,15,16,4,"850,220",4,IN
Nevada,Cities,Las Vegas Metropolitan Police Department,27,9,23,6,0,0,0,16,13,18,18,"1,500,455",4,NV
New_York,Metropolitan Counties,Suffolk County Police Department,26,50,7,4,0,0,0,11,33,22,21,,4,NY
Minnesota,Cities,St. Paul,24,4,2,0,0,0,0,0,18,11,1,"294,690",4,MN
Illinois,Cities,Chicago,22,2,18,3,0,0,0,11,10,15,9,"2,720,554",4,IL
Minnesota,Cities,Minneapolis,20,4,11,3,1,0,0,6,13,11,9,"396,206",4,MN
Georgia,Metropolitan Counties,Cobb County Police Department,19,3,2,3,0,0,0,1,12,8,6,,4,GA
California,Cities,San Diego,18,12,12,1,0,0,0,7,10,17,9,"1,349,306",4,CA
DC,Cities,Washington,18,6,31,3,0,0,12,19,21,20,10,"646,449",4,DC
Kentucky,Cities,Lexington,16,1,5,4,1,0,0,5,10,10,2,"308,712",4,KY
Pennsylvania,Cities,Philadelphia,14,1,0,1,0,0,0,3,11,1,1,"1,553,153",4,PA
West_Virginia,Cities,Oak Hill,14,0,0,0,0,0,0,0,6,8,0,"7,709",4,WV
Arizona,Cities,Tucson,13,6,6,1,0,0,0,8,8,6,4,"525,486",4,AZ
Pennsylvania,Cities,Pittsburgh,12,0,3,0,0,0,0,1,3,8,3,"307,632",4,PA
California,Cities,Riverside,11,1,1,2,0,0,1,7,4,0,5,"316,423",4,CA
Montana,Cities,Helena,11,0,0,0,0,0,0,11,0,0,0,"29,411",4,MT
New_York,Cities,Buffalo,11,1,2,2,0,1,0,6,3,4,4,"258,789",4,NY
Kansas,Cities,Wichita,10,0,3,1,0,0,0,4,4,4,2,"386,486",5,KS
DC,Cities,Washington,18,6,31,3,0,0,12,19,21,20,10,"646,449",5,DC
Missouri,Cities,Kansas City,30,7,14,5,1,4,2,13,17,21,12,"465,514",5,MO
Massachusetts,Cities,Boston,73,21,53,15,0,0,3,39,56,40,30,"643,799",5,MA
California,Cities,Los Angeles,41,29,33,9,0,0,2,21,40,25,28,"3,878,725",5,CA
New_York,Cities,Yonkers,1,3,1,0,0,1,1,2,0,3,2,"199,134",5,NY
Washington,Cities,Seattle,50,14,14,6,3,2,0,19,23,29,18,"642,814",5,WA
New_York,Cities,New York,44,152,99,17,1,0,1,56,84,81,93,"8,396,126",5,NY
New_York,Cities,Poughkeepsie,0,0,0,2,1,0,1,2,1,0,1,"30,778",5,NY
Tennessee,Cities,Memphis,9,0,12,1,1,0,1,6,5,9,4,"657,691",5,TN
Washington,Cities,Auburn,5,1,0,3,0,0,1,1,1,4,4,"74,565",5,WA
California,Cities,Fresno,4,0,3,2,0,0,1,3,3,1,3,"508,876",5,CA
California,Metropolitan Counties,San Bernardino,2,0,1,2,0,0,1,1,0,3,2,,5,CA
California,Cities,Riverside,11,1,1,2,0,0,1,7,4,0,5,"316,423",5,CA
New_York,Universities and Colleges,State University of New York: Binghamton,0,2,0,0,0,0,1,0,0,3,1,"15,308",5,NY
California,Cities,Cupertino,0,0,0,0,0,0,1,0,0,0,1,"60,440",5,CA
California,Cities,Huntington Beach,0,0,0,0,0,0,1,0,1,0,0,"195,842",5,CA
New_York,Metropolitan Counties,Putnam,0,0,0,0,0,0,1,0,0,1,0,,5,NY
New_York,Cities,Buffalo,11,1,2,2,0,1,0,6,3,4,4,"258,789",5,NY
Washington,Cities,Fife,0,0,0,1,0,1,0,0,1,1,0,"9,380",5,WA
Michigan,Universities and Colleges,Michigan State University,2,0,2,0,0,1,0,1,0,2,2,"48,783",5,MI
Massachusetts,Universities and Colleges,Northeastern University,0,1,1,0,0,1,0,0,0,0,3,"27,694",5,MA
Michigan,Cities,Bangor,0,0,0,0,0,1,0,0,0,0,1,"1,857",5,MI
New_York,Cities,Croton-on-Hudson Village,0,0,0,0,0,1,0,0,1,0,0,"8,180",5,NY
New_York,Cities,Schodack Town,0,0,0,0,0,1,0,0,0,1,0,"11,573",5,NY
New_York,Universities and Colleges,Morrisville,0,0,0,0,0,1,0,0,1,0,0,"3,095",5,NY